Tared time (s),Microcontroller running time (ms) ,Thrust (g),Commanded PWM duty cycle (%)
0,112421,3.975,10
0.013,112434,4,10
0.025,112446,4.05,10
0.036,112457,4.5,10
0.049,112470,4.375,10
0.06,112481,4.325,10
0.072,112493,4.575,10
0.083,112504,4.325,10
0.096,112517,4.625,10
0.107,112528,4.725,10
0.119,112540,4.6,10
0.13,112551,4.525,10
0.143,112564,4.075,10
0.155,112576,4.525,10
0.166,112587,4.5,10
0.179,112600,4.375,10
0.19,112611,4.825,10
0.202,112623,4.45,10
0.213,112634,4.6,10
0.226,112647,4.625,10
0.237,112658,4.45,10
0.249,112670,4.575,10
0.262,112683,4.375,10
0.273,112694,4.625,10
0.285,112706,4.5,10
0.296,112717,4.2,10
0.309,112730,4.625,10
0.32,112741,4.275,10
0.332,112753,4.35,10
0.343,112764,4.775,10
0.356,112777,4.35,10
0.367,112788,4.7,10
0.379,112800,4.6,10
0.392,112813,4.275,10
0.403,112824,4.775,10
0.415,112836,4.3,10
0.426,112847,4.6,10
0.439,112860,4.55,10
0.45,112871,4.225,10
0.462,112883,4.825,10
0.473,112894,4.5,10
0.486,112907,4.575,10
0.498,112919,4.65,10
0.509,112930,4.175,10
0.522,112943,4.7,10
0.533,112954,4.6,10
0.545,112966,4.25,10
0.556,112977,4.875,10
0.569,112990,4.475,10
0.58,113001,4.325,10
0.592,113013,4.325,10
0.604,113025,4.275,10
0.616,113037,4.6,10
0.628,113049,4.375,10
0.639,113060,4.6,10
0.652,113073,4.55,10
0.663,113084,4.425,10
0.675,113096,4.625,10
0.686,113107,4.225,10
0.699,113120,4.475,10
0.71,113131,4.525,10
0.722,113143,4.35,10
0.735,113156,4.7,10
0.746,113167,4.4,10
0.758,113179,4.375,10
0.769,113190,4.775,10
0.782,113203,4.3,10
0.793,113214,4.7,10
0.805,113226,4.65,10
0.817,113238,4.25,10
0.829,113250,4.975,10
0.841,113262,4.2,10
0.852,113273,4.375,10
0.865,113286,4.65,10
0.876,113297,3.9,10
0.888,113309,4.775,10
0.899,113320,4.275,10
0.912,113333,4.6,10
0.923,113344,4.825,10
0.935,113356,4,10
0.947,113368,5.05,10
0.959,113380,4.3,10
0.971,113392,4.2,10
0.982,113403,4.8,10
0.995,113416,4.05,10
1.006,113427,4.775,10
1.018,113439,4.575,10
1.03,113451,4.25,10
1.042,113463,4.85,10
1.053,113474,4.35,10
1.065,113486,4.625,10
1.078,113499,4.725,10
1.089,113510,4.15,10
1.101,113522,4.7,10
1.112,113533,4.275,10
1.125,113546,4.5,10
1.136,113557,4.775,10
1.148,113569,4.075,10
1.16,113581,4.7,10
1.172,113593,4.425,10
1.184,113605,4.25,10
1.195,113616,4.925,10
1.208,113629,4.275,10
1.219,113640,4.675,10
1.231,113652,4.75,10
1.243,113664,4.2,10
1.255,113676,4.825,10
1.266,113687,4.4,10
1.278,113699,4.575,10
1.29,113711,4.825,10
1.302,113723,4.425,10
1.314,113735,4.7,10
1.325,113746,4.45,10
1.338,113759,4.45,10
1.349,113770,4.7,10
1.361,113782,4.225,10
1.373,113794,4.625,10
1.385,113806,4.475,10
1.396,113817,4.325,10
1.408,113829,4.875,10
1.421,113842,4.1,10
1.432,113853,4.7,10
1.444,113865,4.7,10
1.455,113876,4.425,10
1.468,113889,4.8,10
1.479,113900,4.05,10
1.491,113912,4.65,10
1.503,113924,4.55,10
1.515,113936,4.375,10
1.527,113948,4.875,10
1.538,113959,4.275,10
1.551,113972,4.55,10
1.562,113983,4.625,10
1.574,113995,4.3,10
1.586,114007,4.775,10
1.598,114019,4.2,10
1.609,114030,4.325,10
1.621,114042,4.85,10
1.634,114055,4.175,10
1.645,114066,4.525,10
1.657,114078,4.625,10
1.668,114089,4.25,10
1.681,114102,4.9,10
1.692,114113,4.425,10
1.704,114125,4.475,10
1.716,114137,4.775,10
1.728,114149,4.4,10
1.739,114160,4.825,10
1.751,114172,4.4,10
1.764,114185,4.375,10
1.775,114196,4.75,10
1.787,114208,4.275,10
1.799,114220,4.675,10
1.811,114232,4.375,10
1.822,114243,4.475,10
1.834,114255,4.725,10
1.846,114267,4.175,10
1.858,114279,4.575,10
1.87,114291,4.45,10
1.881,114302,4.35,10
1.894,114315,4.7,10
1.905,114326,4.225,10
1.917,114338,4.5,10
1.929,114350,4.65,10
1.941,114362,4.475,10
1.952,114373,4.825,10
1.964,114385,4.375,10
1.977,114398,4.5,10
1.988,114409,4.95,10
2,114421,4.4,10
2.012,114433,4.8,10
2.024,114445,4.375,10
2.035,114456,4.35,10
2.047,114468,4.825,10
2.059,114480,4.425,10
2.071,114492,4.875,10
2.082,114503,4.375,10
2.094,114515,4.425,10
2.107,114528,4.65,10
2.118,114539,4.2,10
2.13,114551,4.7,10
2.142,114563,4.625,10
2.154,114575,4.575,10
2.165,114586,4.6,10
2.177,114598,4.475,10
2.189,114610,4.575,10
2.201,114622,4.65,10
2.213,114634,4.45,10
2.225,114646,4.6,10
2.237,114658,4.55,10
2.248,114669,4.425,10
2.26,114681,4.45,10
2.272,114693,4.375,10
2.284,114705,4.725,10
2.295,114716,4.475,10
2.307,114728,4.45,10
2.32,114741,4.55,10
2.331,114752,4.45,10
2.343,114764,4.725,10
2.355,114776,4.325,10
2.367,114788,4.5,10
2.378,114799,4.775,10
2.39,114811,4.275,10
2.402,114823,4.7,10
2.414,114835,4.525,10
2.426,114847,4.425,10
2.438,114859,4.675,10
2.45,114871,4.375,10
2.461,114882,4.8,10
2.473,114894,4.475,10
